"date","date_published","measure","group","interval","min_age","max_age","proportion"
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.05
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
2020-05-04,2020-05-06T16:45:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.69
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.05
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
2020-05-05,2020-05-06T17:45:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.69
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.06
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-05-06,2020-05-07T19:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.67
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.02
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.06
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-05-07,2020-05-08T17:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.67
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.01
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.06
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-05-08,2020-05-09T17:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.67
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.01
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-05-09,2020-05-10T17:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.66
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.01
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-05-10,2020-05-11T17:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.66
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.01
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.25
2020-05-11,2020-05-12T17:30:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.67
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.01
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.07
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.24
2020-05-12,2020-05-13T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.68
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
2020-05-13,2020-05-14T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.01
