"source","date","date_published","measure","group","interval","min_age","max_age","proportion"
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.029
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.058
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.251
graphs_age_distribution,2020-04-15,2020-04-16T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.667
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.029
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.043
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.243
graphs_age_distribution,2020-04-16,2020-04-17T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.685
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.029
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.043
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.243
graphs_age_distribution,2020-04-17,2020-04-18T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.685
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.017
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"60 - 70","[60, 70)",60,70,0.066
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"70 - 80","[70, 80)",70,80,0.233
graphs_age_distribution,2020-04-18,2020-04-19T17:15:00.000+02:00,deaths_age,"≥ 80","[80, +∞)",80,,0.684
graphs_age_distribution,2020-04-19,2020-04-20T17:15:00.000+02:00,deaths_age,"0 - 30","[0, 30)",0,30,0.0
graphs_age_distribution,2020-04-19,2020-04-20T17:15:00.000+02:00,deaths_age,"30 - 40","[30, 40)",30,40,0.0
graphs_age_distribution,2020-04-19,2020-04-20T17:15:00.000+02:00,deaths_age,"40 - 50","[40, 50)",40,50,0.0
graphs_age_distribution,2020-04-19,2020-04-20T17:15:00.000+02:00,deaths_age,"50 - 60","[50, 60)",50,60,0.027
