"date","date_published","cases","cases_residents","cases_nonresidents","cases_new","cases_residents_new","cases_nonresidents_new","cases_residents_prop","cases_nonresidents_prop","cases_sex_f_prop","cases_sex_m_prop","cases_sex_x_prop","cases_sex_u_prop","cases_age_mean","active","active_change","recovered","recovered_new","tests","tests_residents","tests_nonresidents","tests_new","tests_residents_new","tests_nonresidents_new","tests_residents_prop","tests_nonresidents_prop","tests_sex_f_prop","tests_sex_m_prop","tests_sex_x_prop","tests_sex_u_prop","deaths","deaths_new","deaths_transfer","deaths_transfer_new","deaths_hospital_prop","deaths_nonhospital_prop","deaths_sex_f_prop","deaths_sex_m_prop","deaths_sex_x_prop","deaths_sex_u_prop","deaths_age_mean","deaths_age_median","deaths_age_min","deaths_age_max","hospital_total","hospital_normal","hospital_intensive","hospital_total_transfer","hospital_normal_transfer","hospital_intensive_transfer","hospital_admissions","hospital_admissions_new","hospital_admissions_new_all","hospital_admissions_new_ma7","hospital_discharges","hospital_discharges_new","hospital_discharges_new_all","hospital_discharges_new_ma7","reproduction_number_effective","reproduction_number_effective_low","reproduction_number_effective_high","reproduction_number","reproduction_number_low","reproduction_number_high","state","flags"
2020-02-24,2020-05-15T17:30:00.000+02:00,0,,,0,,,,,,,,,,,,,,2,,,2,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-25,2020-05-15T17:30:00.000+02:00,0,,,0,,,,,,,,,,,,,,9,,,7,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-26,2020-05-15T17:30:00.000+02:00,0,,,0,,,,,,,,,,,,,,11,,,2,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-27,2020-05-15T17:30:00.000+02:00,0,,,0,,,,,,,,,,,,,,12,,,1,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-28,2020-05-15T17:30:00.000+02:00,0,,,0,,,,,,,,,,,,,,19,,,7,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-02-29,2020-05-08T17:30:00.000+02:00,1,,,1,,,,,,,,,,1,,0,,20,,,1,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,0,,,0,,,,,,,"import",""
2020-03-01,2020-05-08T17:30:00.000+02:00,1,,,0,,,,,,,,,,,,,,20,,,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-02,2020-04-29T17:30:00.000+02:00,1,,,0,,,,,,,,,,,,,,27,,,7,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-03,2020-04-29T17:30:00.000+02:00,1,,,0,,,,,,,,,,,,,,31,,,4,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,,""
2020-03-04,2020-04-29T17:30:00.000+02:00,1,,,0,,,,,,,,,,,,,,31,,,0,,,,,,,,,0,0,,,,,,,,,,,,,0,0,0,,,0,,,,,,,,0,,,,,,,"import",""
